SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52000910,8.60,6.25,7.00,7.25,5.50,5.25
52000911,7.80,7.00,10.00,6.75,5.75,4.25
52000912,6.60,5.25,7.60,6.75,7.25,4.25
52000913,7.60,7.75,7.80,6.50,5.50,4.00
52000914,5.20,3.75,2.80,None,None,None
52000915,9.20,8.25,8.20,7.00,7.75,7.75
52000916,6.00,5.50,3.40,None,None,None
52000917,7.80,6.25,9.60,7.50,8.00,5.25
52000918,6.40,7.75,5.60,None,None,None
52000919,7.80,7.50,7.40,5.75,6.25,6.25
52000920,7.00,7.75,6.80,6.50,6.25,3.75
52000921,8.20,7.00,8.80,3.50,8.00,4.25
52000922,5.20,6.00,3.60,None,None,None
52000923,8.80,5.75,8.40,7.75,4.25,5.00
52000924,7.60,7.00,8.80,5.75,6.75,5.50
52000925,8.00,6.33,None,6.00,6.25,6.75
52000926,7.60,6.75,4.40,8.25,7.75,4.00
52000927,7.80,5.75,9.20,8.25,8.50,6.75
52000928,8.00,5.25,8.40,6.75,8.25,3.75
52000929,7.20,5.75,7.20,6.25,7.75,4.50
52000930,8.20,6.50,6.80,6.50,6.00,6.25
52000931,7.80,8.50,8.80,7.25,8.00,7.25
52000932,8.40,8.75,9.20,8.00,7.50,4.75
52000933,8.80,6.75,9.80,6.75,8.00,7.50
52000934,8.40,8.00,9.00,6.25,6.50,5.00
52000935,8.20,8.75,7.40,None,None,None
52000936,7.20,7.25,7.80,None,None,None
52000937,9.00,8.00,8.80,8.50,8.75,5.50
52000938,6.20,5.20,4.20,None,None,None
52000939,5.00,5.75,2.20,None,None,None
52000940,7.80,8.50,8.20,None,None,None
52000941,8.20,7.75,9.00,3.75,9.00,4.00
52000942,8.60,8.25,8.80,6.75,7.25,5.00
52000943,6.80,8.00,8.60,5.25,3.50,3.50
52000944,5.80,5.50,9.00,None,None,None
52000945,5.60,6.50,7.20,5.25,4.50,4.00
52000946,8.00,7.50,9.00,8.25,7.75,7.50
52000947,4.00,5.25,3.20,None,None,None
52000948,7.60,7.50,5.80,5.50,7.50,8.00
52000949,8.20,8.00,8.00,7.50,8.50,5.25
52000950,7.20,7.50,8.60,6.75,4.50,4.50
52000951,7.20,6.75,8.80,6.75,7.50,4.75
52000952,8.20,6.00,8.00,8.00,7.00,3.50
52000953,7.00,8.25,7.40,None,None,None
52000954,7.80,9.25,8.80,7.75,8.50,6.50
52000955,8.40,6.25,5.60,6.00,7.25,4.75
52000956,8.00,8.25,None,6.75,8.75,9.00
52000957,7.20,7.00,7.00,4.75,6.75,5.50
52000958,6.80,7.50,8.60,None,None,None
52000959,8.00,8.50,8.20,8.50,7.25,4.25
52000960,7.80,8.50,8.80,8.00,7.00,5.25
52000961,8.60,6.00,8.40,8.50,7.75,4.50
52000962,7.20,7.00,9.00,6.00,7.25,5.50
52000963,8.20,8.75,9.00,None,None,None
