SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52002980,7.40,8.25,5.80,None,None,None
52002981,6.20,5.50,6.60,5.50,5.25,3.25
52002982,9.00,7.00,8.20,9.00,8.50,6.75
52002983,7.40,7.25,4.00,None,None,None
52002984,5.60,6.25,8.40,None,None,None
52002985,7.20,7.50,6.20,None,None,None
52002986,7.60,6.75,8.20,7.75,7.00,5.75
52002987,8.20,7.50,8.20,None,None,None
52002988,7.40,6.25,7.00,5.50,8.00,4.25
52002989,8.20,5.25,8.80,7.25,5.75,4.50
52002990,7.20,6.25,7.60,6.25,6.50,5.00
52002991,7.20,7.50,7.00,None,None,None
52002992,7.80,7.00,7.80,8.50,4.75,4.75
52002993,8.00,7.25,6.60,None,None,None
52002994,7.80,8.25,6.80,9.00,7.50,5.50
52002995,7.40,8.75,9.40,None,None,None
52002996,7.20,8.00,4.20,None,None,None
52002997,8.00,8.50,9.20,None,None,None
52002998,7.00,6.00,7.40,None,None,None
52002999,8.60,7.50,9.60,7.25,6.00,5.50
52003000,6.60,5.50,4.80,None,None,None
52003001,7.40,5.25,7.60,6.75,6.50,4.50
52003002,6.40,8.50,6.00,None,None,None
52003003,5.40,6.75,6.40,None,None,None
52003004,8.40,7.00,7.60,8.00,8.25,3.25
52003005,8.60,7.25,6.40,8.00,8.50,5.25
52003006,8.00,8.00,7.80,None,None,None
52003007,8.60,7.75,7.00,7.25,6.75,4.75
52003008,5.20,6.50,3.60,None,None,None
52003009,8.80,7.50,7.80,7.50,7.50,5.50
52003010,7.80,8.50,6.40,None,None,None
52003011,8.40,7.50,7.00,6.25,8.25,7.50
52003012,4.80,5.00,4.20,None,None,None
52003013,7.80,7.50,7.00,None,None,None
52003014,7.20,6.50,7.00,6.00,7.00,4.25
52003015,7.00,6.25,6.40,5.50,6.50,5.75
52003016,7.80,7.00,9.00,7.25,7.75,3.75
52003017,8.80,7.50,7.60,6.75,7.50,5.50
52003018,7.80,6.75,7.00,None,None,None
52003019,3.60,4.75,3.80,None,None,None
52003020,8.20,8.25,9.20,None,None,None
52003021,7.00,7.75,7.00,5.50,4.50,5.50
52003022,6.60,6.25,7.20,5.50,6.50,4.25
52003023,7.20,7.00,5.00,7.00,6.75,3.25
52003024,8.40,5.25,6.60,7.00,6.50,4.25
52003025,6.20,6.50,4.40,None,None,None
52003026,8.60,8.75,8.80,None,None,None
52003027,8.20,8.00,3.60,None,None,None
52003028,7.60,7.25,7.20,None,None,None
52003029,7.20,9.00,7.40,None,None,None
52003030,7.20,8.50,9.20,None,None,None
52003031,6.20,8.75,5.00,None,None,None
52003032,6.00,7.50,6.20,None,None,None
52003033,7.00,7.75,9.40,6.00,5.75,3.50
52003034,8.60,8.50,5.80,None,None,None
52003035,6.80,8.75,6.00,None,None,None
52003036,7.40,7.25,6.20,5.25,6.00,4.25
52003037,None,None,None,None,None,None
52003038,7.60,8.50,8.40,None,None,None
52003039,8.60,8.25,6.60,None,None,None
52003040,6.80,6.00,8.80,7.25,5.75,4.00
52003041,8.80,6.75,6.60,8.25,9.00,5.25
52003042,5.80,5.50,6.20,None,None,None
52003043,6.00,6.00,4.80,None,None,None
52003044,7.60,6.25,7.20,6.50,7.75,5.25
52003045,7.60,5.75,8.60,8.00,7.75,7.25
52003046,8.20,6.50,4.20,6.75,6.75,4.00
52003047,7.40,6.50,8.20,None,None,None
52003048,6.80,6.25,6.00,None,None,None
52003049,8.40,8.00,9.00,8.50,7.25,5.75
52003050,6.80,5.75,3.40,None,None,None
52003051,8.60,7.00,6.40,8.75,8.00,4.25
52003052,9.00,7.25,9.20,9.25,8.00,6.25
52003053,7.20,7.00,4.80,None,None,None
52003054,8.00,6.00,8.80,7.75,8.25,7.25
52003055,7.40,6.25,6.80,8.50,5.50,5.75
52003056,8.40,7.50,8.80,8.25,7.00,5.00
52003057,6.80,7.00,6.20,None,None,None
52003058,8.60,6.75,8.60,9.00,7.50,6.25
52003059,7.80,8.25,8.00,None,None,None
52003060,3.80,6.25,3.80,None,None,None
52003061,8.60,6.50,8.40,7.25,5.50,5.25
52003062,2.60,6.00,4.00,None,None,None
52003063,6.20,7.25,7.00,None,None,None
52003064,7.60,7.50,7.80,None,None,None
52003065,6.20,7.00,6.40,None,None,None
52003066,8.40,6.50,6.20,6.00,7.25,4.50
52003067,8.00,5.00,4.80,6.25,5.00,3.50
52003068,7.60,6.50,7.60,6.50,7.00,5.50
52003069,8.60,7.50,5.60,5.75,8.50,7.00
52003070,8.40,6.50,6.20,6.00,8.00,5.25
52003071,7.40,9.00,6.20,None,None,None
52003072,8.20,7.25,7.00,7.50,7.50,4.75
52003073,8.60,8.00,7.20,7.25,7.75,6.75
52003074,5.80,7.00,3.20,None,None,None
52003075,7.60,6.00,6.60,6.50,6.00,4.75
52003076,6.80,5.75,3.60,None,None,None
52003077,7.00,6.00,5.20,6.25,7.00,3.75
52003078,7.80,6.25,4.80,6.75,7.25,4.75
52003079,2.40,5.25,3.00,None,None,None
52003080,7.60,7.50,4.40,6.00,7.25,4.25
52003081,8.20,6.00,8.40,8.25,8.00,6.50
52003082,8.00,6.50,5.40,7.00,8.00,4.75
52003083,8.80,6.25,8.80,8.75,7.75,6.00
52003084,7.00,7.50,8.80,None,None,None
52003085,8.00,7.25,6.20,6.75,7.75,4.75
52003086,6.00,8.50,7.40,None,None,None
52003087,7.60,7.25,9.20,7.50,3.50,7.50
52003088,8.00,6.25,7.80,5.00,8.00,7.75
52003089,7.80,6.00,6.20,7.50,7.75,5.00
52003090,8.20,6.50,8.00,7.25,7.50,6.00
52003091,8.00,6.00,4.80,7.75,6.25,4.25
52003092,7.20,5.25,5.40,6.50,5.00,6.00
52003093,6.00,4.75,4.00,None,None,None
52003094,8.40,6.00,6.20,7.25,3.50,3.25
52003095,7.60,6.50,6.80,7.00,6.75,5.50
52003096,7.80,6.00,7.40,6.00,8.50,7.25
52003097,7.80,6.75,5.60,None,None,None
52003098,7.00,6.25,9.40,8.00,7.00,5.00
52003099,7.00,5.75,6.20,5.75,5.50,5.75
52003100,3.80,5.75,3.00,None,None,None
52003101,7.80,6.00,8.20,7.25,7.00,5.50
52003102,4.00,5.50,3.80,None,None,None
52003103,7.20,8.50,7.20,None,None,None
52003104,7.40,7.75,8.20,None,None,None
52003105,8.40,5.00,7.40,6.75,8.25,6.00
52003106,7.40,7.50,7.00,None,None,None
52003107,8.00,7.25,8.80,9.25,6.50,5.00
52003108,6.40,7.50,5.20,None,None,None
52003109,7.60,7.50,6.80,7.75,8.25,6.50
52003110,7.20,7.50,7.00,None,None,None
52003111,7.80,7.75,4.80,4.75,7.50,5.25
52003112,4.80,5.50,2.80,None,None,None
52003113,8.60,7.50,5.80,7.75,7.00,5.50
52003114,7.80,7.00,5.00,7.25,8.50,3.50
52003115,8.80,7.00,9.40,7.75,6.25,4.00
52003116,8.00,6.25,7.20,7.75,7.50,4.75
52003117,4.80,5.25,9.00,None,None,None
52003118,6.20,7.00,2.80,None,None,None
52003119,7.80,7.25,7.40,8.25,8.75,4.00
52003120,8.40,7.25,8.20,7.00,5.25,4.50
52003121,7.80,7.00,7.00,4.75,5.75,4.00
52003122,8.00,7.75,7.60,None,None,None
52003123,7.20,6.00,6.60,7.75,3.50,5.50
52003124,8.00,6.75,7.80,7.50,7.75,4.75
52003125,8.00,7.00,7.20,8.00,8.50,5.50
52003126,8.00,6.50,7.20,8.00,8.75,4.25
52003127,8.60,7.25,9.20,8.25,7.75,5.25
52003128,8.20,5.25,7.40,7.25,7.50,4.50
52003129,8.60,8.00,8.80,None,None,None
52003130,7.00,7.50,2.60,6.75,6.75,3.00
52003131,4.20,5.25,1.80,None,None,None
52003132,7.60,7.75,8.20,6.75,7.00,5.25
52003133,6.60,8.25,8.60,None,None,None
52003134,8.60,7.00,6.80,8.25,8.00,3.75
52003135,7.40,6.91,6.20,7.00,7.75,4.75
52003136,7.80,6.00,5.80,6.25,7.75,5.25
52003137,9.00,7.00,8.40,7.25,7.75,5.50
52003138,8.00,6.00,6.00,7.00,4.25,3.25
52003139,8.00,6.25,9.00,6.75,7.00,5.50
52003140,8.00,7.00,8.00,7.50,6.00,4.75
52003141,6.60,6.50,6.40,6.25,5.00,6.00
52003142,9.00,7.25,9.20,9.25,7.75,7.25
52003143,8.20,7.00,6.40,7.75,6.50,6.00
52003144,7.40,7.25,4.80,None,None,None
52003145,6.60,8.25,7.20,None,None,None
52003146,3.00,5.75,4.60,None,None,None
52003147,9.00,3.75,7.40,8.25,8.00,6.50
52003148,8.20,6.75,8.80,6.00,8.00,4.00
52003149,8.20,8.75,6.80,None,None,None
52003150,5.40,6.00,7.80,None,None,None
52003151,8.20,8.00,7.80,7.25,6.50,3.00
52003152,8.20,8.50,8.80,None,None,None
52003153,7.80,9.00,8.40,None,None,None
52003154,6.80,7.00,6.00,None,None,None
52003155,6.40,8.50,7.80,None,None,None
52003156,7.60,8.50,6.20,None,None,None
52003157,7.80,8.00,9.40,None,None,None
52003158,7.80,8.25,8.60,7.50,8.00,4.50
52003159,8.80,7.00,6.20,8.25,8.75,4.00
52003160,6.60,7.00,9.60,None,None,None
52003161,7.60,8.00,7.20,6.75,7.25,3.75
52003162,7.20,7.50,5.60,None,None,None
52003163,6.00,4.75,3.80,None,None,None
52003164,6.80,8.50,4.40,None,None,None
52003165,7.60,6.75,6.00,7.00,7.50,4.50
52003166,7.80,8.25,6.00,None,None,None
52003167,8.20,6.75,4.40,5.50,6.50,4.75
52003168,7.80,6.25,7.40,6.75,6.75,4.75
52003169,8.40,6.50,5.20,8.00,7.00,3.75
52003170,7.80,6.75,4.80,7.00,7.25,4.25
52003171,8.00,6.50,8.20,8.50,8.00,5.00
52003172,8.40,8.25,9.00,None,None,None
52003173,6.40,5.00,2.00,None,None,None
52003174,4.20,5.75,2.60,None,None,None
52003175,3.80,6.50,4.00,None,None,None
52003176,7.00,7.00,7.60,None,None,None
52003177,9.00,6.75,8.80,8.75,7.00,5.25
52003178,8.60,8.50,8.60,7.50,7.50,7.00
52003179,8.40,8.25,8.40,8.25,6.25,4.50
52003180,8.00,6.25,8.40,6.00,6.75,5.25
52003181,7.20,8.25,8.40,None,None,None
52003182,6.80,5.75,3.80,None,None,None
52003183,7.80,6.50,7.20,8.00,7.50,3.75
52003184,7.80,7.25,8.60,5.50,6.25,5.25
52003185,4.80,5.00,4.00,None,None,None
52003186,6.40,7.25,5.20,5.50,6.25,4.50
52003187,6.00,6.00,3.00,None,None,None
52003188,6.40,6.75,6.40,6.50,5.25,4.00
52003189,7.20,7.25,7.20,5.25,4.75,4.25
52003190,8.00,7.25,8.80,7.25,6.50,3.00
52003191,8.00,6.50,7.80,7.25,5.75,4.25
52003192,7.00,7.00,8.20,None,None,None
52003193,8.60,7.50,9.80,7.25,7.50,6.25
52003194,8.00,7.25,8.00,7.50,7.25,5.00
52003195,7.60,7.75,8.60,None,None,None
52003196,8.20,7.50,8.60,6.50,6.50,4.50
52003197,3.40,5.50,3.40,None,None,None
52003198,7.20,7.25,4.00,None,None,None
52003199,7.40,6.00,3.40,6.50,6.50,3.00
52003200,8.00,6.75,9.00,8.50,6.25,4.50
52003201,7.80,7.00,8.60,7.25,7.75,8.25
52003202,8.20,8.50,6.40,8.00,9.00,5.00
52003203,7.60,8.00,7.80,8.75,8.00,5.00
52003204,7.80,7.50,5.00,None,None,None
52003205,4.80,5.00,2.40,None,None,None
52003206,8.20,6.00,8.20,7.75,7.75,5.50
52003207,7.20,5.00,5.40,7.00,7.25,5.00
52003208,7.80,6.75,7.00,6.00,5.75,3.50
52003209,8.60,7.00,8.00,8.00,9.00,5.75
52003210,7.80,7.50,7.60,None,None,None
52003211,5.00,7.00,3.80,None,None,None
52003212,8.20,8.25,7.80,8.25,8.00,5.50
52003213,7.20,6.25,7.40,7.00,5.50,4.50
52003214,4.20,6.25,3.40,None,None,None
52003215,8.20,6.75,6.20,5.25,4.25,4.25
52003216,5.80,6.75,3.20,4.50,6.25,3.50
52003217,7.60,6.00,6.40,6.75,6.50,2.75
52003218,7.40,6.75,5.20,7.75,7.00,3.25
52003219,7.20,7.50,4.80,None,None,None
52003220,5.60,6.25,6.60,None,None,None
52003221,7.60,6.75,7.40,7.50,7.50,3.75
52003222,4.80,4.75,4.80,None,None,None
52003223,2.80,5.50,2.00,None,None,None
52003224,8.80,4.50,6.80,7.75,8.50,6.00
52003225,8.60,7.50,9.00,8.00,7.75,6.25
52003226,7.60,6.50,6.60,7.75,8.00,6.00
52003227,6.60,6.50,7.60,5.00,5.50,3.25
52003228,7.60,7.00,8.00,8.25,8.25,6.25
52003229,7.00,6.75,4.20,5.50,4.25,2.50
52003230,7.00,6.00,7.80,4.75,6.00,4.25
52003231,7.80,7.00,6.80,7.25,8.00,6.25
52003232,8.40,5.75,8.40,8.00,9.00,5.50
52003233,7.20,6.00,4.60,3.00,5.50,4.00
52003234,7.40,4.25,7.80,6.00,4.50,6.00
52003235,8.20,5.00,9.00,7.75,6.25,4.75
52003236,7.40,5.25,7.20,None,None,None
52003237,8.00,6.00,5.60,7.50,7.75,5.25
52003238,8.00,6.25,4.80,6.75,6.50,3.00
52003239,6.60,7.00,7.80,None,None,None
52003240,8.40,6.75,6.80,6.50,7.50,4.00
52003241,7.40,6.00,5.60,6.50,4.00,3.00
52003242,8.20,8.75,7.80,8.50,8.00,3.50
52003243,5.00,8.25,6.60,None,None,None
52003244,6.60,8.75,7.20,5.75,6.50,4.25
52003245,8.00,8.50,7.20,None,None,None
52003246,7.60,8.00,7.20,5.75,7.75,7.00
52003247,6.20,8.00,6.80,None,None,None
52003248,7.00,7.00,4.60,None,None,None
52003249,8.80,7.75,8.00,None,None,None
52003250,4.40,7.50,6.00,None,None,None
52003251,7.00,7.75,8.20,None,None,None
52003252,7.40,7.75,5.20,4.25,7.75,4.25
52003253,6.00,5.25,6.40,None,None,None
52003254,8.20,8.25,7.80,8.25,8.50,6.50
52003255,4.60,5.50,3.80,None,None,None
52003256,7.20,6.50,7.20,6.25,8.00,5.00
52003257,8.40,7.50,6.00,8.50,8.75,5.50
52003258,8.00,7.00,7.40,None,None,None
52003259,8.60,7.00,7.40,None,None,None
52003260,8.60,6.75,7.60,8.50,7.75,4.25
52003261,7.80,6.50,5.40,None,None,None
52003262,8.40,9.25,8.20,7.50,8.50,6.00
52003263,8.80,6.00,7.20,7.50,8.00,4.75
52003264,5.20,6.50,7.80,None,None,None
52003265,7.80,8.00,7.00,None,None,None
52003266,8.20,7.00,3.40,None,None,None
52003267,8.00,7.75,8.00,7.25,8.00,6.25
52003268,6.60,7.25,6.60,None,None,None
52003269,8.40,8.00,7.00,7.50,5.50,3.00
52003270,8.00,8.00,6.80,None,None,None
52003271,7.40,6.75,5.00,None,None,None
52003272,8.00,6.25,8.20,7.50,8.25,5.75
52003273,8.80,6.50,9.20,8.75,5.25,4.25
52003274,6.40,7.50,6.20,7.50,4.75,5.00
52003275,6.80,5.75,8.40,7.00,4.75,4.00
52003276,8.20,7.00,7.00,8.75,7.50,5.00
52003277,8.00,5.75,3.80,6.50,7.75,3.00
52003278,7.00,8.50,7.80,None,None,None
52003279,8.40,7.50,8.40,7.50,6.00,4.75
52003280,3.80,5.00,3.60,None,None,None
52003281,3.40,5.50,3.20,None,None,None
52003282,8.80,6.75,8.00,6.00,6.50,3.75
52003283,7.20,6.25,7.20,7.25,4.75,4.00
52003284,7.00,5.25,7.60,4.50,4.50,4.00
52003285,7.40,6.50,6.80,6.75,6.25,3.50
52003286,3.40,5.50,3.00,None,None,None
52003287,4.40,5.00,3.60,None,None,None
52003288,5.60,5.00,2.40,None,None,None
52003289,6.60,5.75,7.00,5.25,6.50,3.50
52003290,7.40,6.75,7.00,6.50,7.50,4.25
52003291,7.80,7.00,7.20,5.25,6.25,4.00
52003292,6.40,6.75,4.20,None,None,None
52003293,8.00,7.75,8.40,6.25,6.00,4.75
52003294,8.60,7.75,6.80,7.25,6.50,4.25
52003295,7.00,7.00,9.40,None,None,None
52003296,4.20,5.50,3.60,None,None,None
52003297,7.80,6.50,8.40,7.00,8.75,4.25
52003298,8.00,4.50,6.00,6.50,8.00,5.00
52003299,8.80,5.50,6.20,8.50,8.25,6.75
52003300,7.60,7.50,5.60,7.00,5.75,5.25
52003301,8.60,7.00,7.20,8.25,6.50,3.75
52003302,8.40,8.25,7.80,None,None,None
52003303,8.40,7.50,7.20,8.00,7.75,4.25
52003304,6.40,6.50,7.20,None,None,None
52003305,7.80,7.00,7.20,8.00,7.75,5.75
52003306,7.60,8.50,9.20,None,None,None
52003307,7.80,7.75,7.20,8.50,6.75,4.50
52003308,7.60,7.00,7.40,None,None,None
52003309,8.80,7.50,8.00,8.00,8.25,5.25
52003310,7.80,6.00,5.80,None,None,None
52003311,8.40,7.25,7.80,7.25,7.00,5.25
52003312,8.40,7.50,8.60,7.00,8.25,7.25
52003313,8.60,7.50,5.20,7.00,7.25,5.50
52003314,8.00,8.00,9.00,8.50,6.75,6.00
52003315,8.40,7.00,8.40,6.75,6.00,5.75
52003316,4.00,7.00,4.20,None,None,None
52003317,7.80,8.00,7.20,8.75,8.75,7.00
52003318,7.80,7.75,6.20,7.00,7.00,6.75
52003319,8.20,8.00,6.40,8.50,7.75,7.25
52003320,7.00,8.25,9.20,None,None,None
52003321,8.00,6.75,8.40,6.00,7.00,5.75
52003322,7.80,7.50,4.60,7.25,7.25,4.75
52003323,7.20,7.75,6.20,None,None,None
52003324,6.20,8.75,8.40,None,None,None
52003325,6.80,8.50,8.60,None,None,None
52003326,5.00,7.25,3.60,None,None,None
52003327,7.20,7.00,7.40,6.75,7.50,3.75
52003328,6.00,8.00,4.80,None,None,None
52003329,8.40,7.50,8.20,8.25,6.75,5.75
52003330,5.80,6.00,7.00,None,None,None
52003331,7.40,7.50,6.80,5.25,3.75,3.50
52003332,7.60,7.25,4.00,7.00,7.25,4.50
52003333,6.40,7.00,3.40,None,None,None
52003334,8.40,7.00,6.60,7.00,7.50,3.25
52003335,3.20,5.00,2.40,None,None,None
52003336,7.60,8.75,8.60,None,None,None
52003337,9.00,7.50,8.60,7.75,7.75,6.50
52003338,6.00,6.00,4.40,None,None,None
52003339,7.60,6.25,4.60,7.00,8.25,3.75
52003340,8.60,7.00,8.60,8.50,8.50,5.25
52003341,6.00,7.00,4.20,None,None,None
52003342,7.40,8.00,7.60,7.25,7.50,5.25
52003343,7.00,8.00,8.40,None,None,None
52003344,7.00,7.75,4.40,None,None,None
52003345,8.20,9.00,9.60,7.50,6.50,4.50
52003346,4.80,6.75,5.40,None,None,None
52003347,6.80,6.75,7.20,None,None,None
52003348,8.00,7.75,7.80,8.25,8.25,6.25
52003349,8.80,7.00,9.20,8.25,7.75,5.50
52003350,4.40,6.75,3.20,None,None,None
52003351,7.80,8.50,6.60,None,None,None
52003352,8.20,7.75,5.20,6.75,6.25,3.75
52003353,8.00,7.75,6.20,7.25,7.00,3.75
52003354,4.60,6.00,3.20,None,None,None
52003355,7.60,7.50,8.60,7.50,7.00,5.00
52003356,7.20,7.50,8.40,8.25,6.50,6.00
52003357,1.60,4.75,2.80,None,None,None
52003358,3.00,4.75,3.60,None,None,None
52003359,3.80,5.25,3.20,None,None,None
52003360,7.60,8.25,7.00,7.25,6.75,3.75
52003361,8.00,6.75,8.40,8.00,7.25,4.00
52003362,7.80,6.50,4.20,7.50,7.00,4.25
52003363,8.60,7.50,9.20,9.00,7.75,4.00
52003364,8.60,6.75,9.40,8.50,7.75,5.50
52003365,7.00,6.50,3.80,4.50,5.25,2.25
52003366,6.60,8.00,5.00,None,None,None
52003367,7.80,6.00,6.80,6.75,5.75,4.00
52003368,7.40,6.00,8.00,6.50,5.75,5.50
52003369,8.40,4.25,7.80,7.25,6.25,5.25
52003370,7.60,6.25,4.60,None,None,None
52003371,7.60,7.25,4.80,None,None,None
52003372,6.80,6.75,5.60,6.75,8.00,4.25
52003373,7.60,7.00,7.20,None,None,None
52003374,7.40,7.00,8.80,5.75,5.75,6.00
52003375,7.80,7.00,6.20,None,None,None
52003376,7.80,6.75,8.20,6.75,7.75,3.25
52003377,4.60,7.25,4.20,None,None,None
52003378,7.20,5.75,7.40,7.25,8.50,4.75
52003379,7.40,7.75,8.60,7.00,7.25,6.50
52003380,8.00,8.00,7.20,8.25,6.75,3.75
52003381,7.60,7.75,6.60,7.75,6.00,4.75
52003382,8.00,7.75,8.80,7.50,7.75,7.25
52003383,6.20,7.00,6.20,None,None,None
52003384,8.00,8.50,6.20,5.50,5.75,5.25
52003385,7.00,8.00,9.00,None,None,None
52003386,7.80,8.75,8.80,6.50,5.50,6.00
52003387,8.80,7.25,6.80,5.75,8.00,4.75
52003388,6.80,8.50,6.20,None,None,None
52003389,4.00,7.00,2.40,None,None,None
52003390,7.80,6.50,7.60,8.75,7.75,5.00
52003391,8.00,8.50,5.40,7.50,6.50,5.00
52003392,7.20,8.00,8.20,5.25,5.25,5.25
52003393,7.80,9.00,9.40,None,None,None
52003394,6.80,8.25,8.00,None,None,None
52003395,8.40,6.50,7.00,8.25,5.75,4.50
52003396,8.20,7.50,7.20,7.00,7.00,5.25
52003397,7.40,7.25,6.00,None,None,None
52003398,8.40,7.00,8.20,7.50,5.50,5.75
52003399,8.60,7.00,8.40,7.75,6.75,5.75
52003400,7.20,6.25,5.80,None,None,None
52003401,7.40,6.75,8.00,None,None,None
52003402,7.80,7.25,7.40,None,None,None
52003403,7.20,8.25,7.60,None,None,None
52003404,6.80,6.25,6.00,None,None,None
52003405,7.80,7.75,6.60,None,None,None
52003406,8.00,6.75,8.20,7.25,8.00,5.00
52003407,6.40,4.50,6.80,None,None,None
52003408,8.20,5.75,9.00,8.50,8.25,5.50
52003409,7.20,7.30,7.20,None,None,None
52003410,7.60,7.00,2.60,5.50,5.50,4.50
52003411,7.60,6.75,8.00,6.25,7.00,5.25
52003412,7.00,7.25,5.80,None,None,None
52003413,7.80,8.00,4.80,7.25,8.00,4.00
52003414,3.60,5.25,5.00,None,None,None
52003415,7.40,7.75,6.80,None,None,None
52003416,9.00,8.50,6.40,8.50,8.50,6.50
52003417,7.60,8.75,9.00,7.75,5.75,6.75
52003418,7.40,7.00,9.00,None,None,None
52003419,7.80,7.25,5.80,7.25,8.00,2.50
52003420,4.00,6.25,3.20,None,None,None
52003421,6.60,8.25,5.20,4.50,8.00,5.50
52003422,7.60,8.00,7.60,6.50,5.50,5.75
52003423,7.60,7.25,9.20,7.50,7.50,4.75
52003424,7.00,7.00,6.80,4.00,5.25,4.25
52003425,7.40,6.50,6.80,6.75,6.25,4.50
52003426,7.80,7.50,7.60,7.50,6.75,3.25
52003427,8.60,8.25,8.60,8.50,8.75,5.75
52003428,6.20,7.25,6.40,None,None,None
52003429,7.00,6.50,6.40,6.75,7.00,4.00
52003430,None,None,None,None,None,None
52003431,8.20,8.50,8.20,7.75,7.25,4.75
52003432,7.80,7.75,8.60,7.25,5.00,5.25
52003433,8.40,8.00,8.00,8.50,8.00,5.75
52003434,8.20,5.50,7.40,6.75,4.50,4.00
52003435,8.00,7.00,8.60,7.75,7.25,5.75
52003436,6.00,6.75,4.40,None,None,None
52003437,7.00,6.75,6.20,7.25,7.50,4.75
52003438,7.80,6.00,7.80,6.75,6.50,4.50
52003439,8.60,7.00,6.80,7.50,7.00,4.00
52003440,8.80,5.25,5.60,6.50,7.25,5.25
52003441,8.40,7.25,9.20,9.00,7.50,7.25
52003442,8.00,7.25,7.20,7.75,7.75,8.50
52003443,8.60,6.50,9.40,7.25,4.50,4.50
52003444,8.20,6.25,7.80,7.25,7.00,4.75
52003445,1.40,3.75,2.20,None,None,None
52003446,8.60,6.75,6.80,7.75,9.50,6.25
52003447,6.40,6.25,5.20,None,None,None
52003448,6.60,6.50,2.80,None,None,None
52003449,8.40,6.75,7.40,7.75,6.50,5.00
52003450,7.80,7.00,5.00,6.25,8.00,3.50
52003451,6.80,8.75,6.00,None,None,None
52003452,7.40,9.00,9.20,7.00,5.75,5.00
52003453,8.20,8.00,8.20,6.50,7.50,6.25
52003454,7.40,7.50,4.80,5.75,7.50,5.00
52003455,8.40,8.00,8.80,None,None,None
52003456,7.20,9.00,7.80,None,None,None
52003457,7.60,8.25,8.60,None,None,None
52003458,7.80,6.75,6.00,6.50,6.00,3.75
52003459,7.80,7.75,7.40,7.25,4.75,4.75
52003460,7.60,8.00,6.60,7.50,6.00,3.25
52003461,5.80,3.00,9.00,None,None,None
52003462,8.80,6.75,8.40,8.50,8.25,6.00
52003463,7.60,7.75,4.40,7.25,7.25,6.25
52003464,7.60,7.75,7.20,8.00,8.25,4.00
52003465,8.60,7.00,7.80,8.00,7.75,6.50
52003466,7.40,6.00,8.00,6.25,8.50,7.00
52003467,8.60,8.00,9.20,None,None,None
52003468,7.80,7.50,6.20,None,None,None
52003469,8.20,7.50,5.60,7.50,6.75,3.75
52003470,8.40,7.75,10.00,None,None,None
52003471,7.80,6.00,9.20,7.75,5.00,6.50
52003472,9.20,7.50,8.20,4.75,9.25,7.50
52003473,8.20,7.50,9.20,9.25,6.25,7.00
52003474,6.60,7.25,4.80,None,None,None
52003475,7.60,7.25,7.40,6.75,7.00,4.50
52003476,7.40,7.75,7.40,None,None,None
52003477,7.60,7.50,8.40,None,None,None
52003478,8.20,9.00,8.60,7.75,7.25,5.00
52003479,8.00,7.50,7.40,None,None,None
52003480,8.00,8.50,9.80,4.00,8.00,4.00
52003481,7.20,8.75,8.00,None,None,None
52003482,4.00,5.50,3.40,None,None,None
52003483,7.80,8.25,7.20,6.75,9.00,4.50
52003484,6.80,8.25,7.00,None,None,None
52003485,7.60,7.50,8.20,7.00,8.00,7.25
52003486,8.60,8.25,8.80,None,None,None
52003487,6.40,6.00,4.40,None,None,None
52003488,8.40,8.00,6.40,7.50,5.00,3.75
52003489,7.60,6.00,8.00,7.00,8.00,4.00
52003490,7.00,6.00,5.20,None,None,None
52003491,8.40,6.75,6.00,8.25,7.50,5.50
52003492,7.40,6.00,8.60,6.75,7.50,4.25
52003493,7.40,6.00,6.00,6.75,5.75,4.75
52003494,8.60,7.00,5.00,7.00,8.25,4.50
52003495,8.00,7.50,8.80,6.75,7.00,3.75
52003496,8.00,7.00,6.20,7.00,7.75,7.25
52003497,9.00,7.00,8.60,8.25,8.25,4.50
52003498,3.60,6.00,4.60,None,None,None
52003499,7.00,6.00,4.60,None,None,None
52003500,6.00,5.50,3.20,None,None,None
52003501,6.20,7.00,3.40,None,None,None
52003502,7.20,7.00,9.20,5.75,7.00,6.25
52003503,8.00,6.25,5.20,6.00,6.50,5.25
52003504,7.60,7.50,6.40,8.75,8.50,7.25
52003505,4.40,6.00,6.40,None,None,None
52003506,7.60,6.75,5.00,None,None,None
52003507,7.60,8.00,7.60,6.50,9.00,4.50
52003508,7.60,5.50,6.80,7.50,7.75,4.50
52003509,7.60,8.25,7.20,6.50,6.00,6.00
52003510,6.80,6.75,5.80,None,None,None
52003511,8.60,7.50,8.40,7.75,7.50,5.25
52003512,7.20,6.50,4.80,4.75,6.00,4.50
52003513,6.00,8.50,6.20,None,None,None
52003514,7.40,8.00,5.60,None,None,None
52003515,7.80,8.50,7.20,8.00,8.00,5.50
52003516,7.80,7.50,5.60,8.25,8.00,5.00
52003517,8.20,6.25,8.60,7.50,7.75,4.50
52003518,8.00,6.00,3.80,7.00,7.00,4.25
52003519,8.00,6.25,8.40,7.00,7.00,6.00
52003520,8.60,6.00,8.80,7.25,7.50,4.75
52003521,8.40,7.00,5.00,8.25,6.25,5.50
52003522,8.40,7.00,9.00,7.00,4.25,6.00
52003523,5.40,7.00,5.40,None,None,None
52003524,8.60,7.50,7.20,8.50,8.75,6.25
52003525,7.40,7.50,4.20,6.00,8.00,3.75
52003526,8.20,7.00,4.60,7.25,8.25,4.25
